"date","cases","Avg7Day_Cases","Last7Days_100k","tests","Avg7Day_Tests","posTest","negTest","percentPos","Avg7Day_Pos","admissions","Avg7Day_Adm","currentHosp","Avg7Day_Hosp","ICU","Avg7Day_ICU","vent","Avg7Day_Vent","dailyDeaths","Avg7Day_Deaths","firstOfTwoPriorDay","johnsonPriorDay","secondPriorDay","totalDoses_PriorDay","Avg7Day_totalDoses","cumulativeFirstOnly","cumulativeSecond","cumulativeJohnson"
2020-03-08,0,NA,NA,18,NA,0,18,0,NA,0,NA,3,NA,2,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
2020-03-09,1,NA,NA,16,NA,1,15,6.2,NA,0,NA,3,NA,2,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
2020-03-10,1,NA,NA,27,NA,2,25,3.7,NA,0,NA,3,NA,2,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
2020-03-11,0,NA,NA,34,NA,0,34,0,NA,1,NA,4,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
2020-03-12,7,NA,NA,50,NA,9,41,14,NA,1,NA,5,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
2020-03-13,6,NA,NA,56,NA,6,50,10.7,NA,4,NA,8,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
2020-03-14,0,2,1,90,42,0,90,0,4.9,0,1,8,5,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-15,1,2,2,55,47,1,54,1.8,5.2,1,1,9,6,2,1,1,1,0,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-16,3,3,2,97,58,2,95,3.1,4.8,2,1,11,7,2,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-17,12,4,3,174,79,12,162,6.9,5.2,6,2,17,9,2,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-18,11,6,4,125,92,9,116,8.8,6.5,3,2,20,11,2,2,0,1,0,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-19,17,7,5,277,125,15,262,6.1,5.3,2,3,21,13,3,2,0,0,1,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-20,13,8,5,210,147,13,197,6.2,4.7,5,3,26,16,4,2,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-21,14,10,7,138,154,12,126,10.1,6.1,3,3,27,19,5,3,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-22,25,14,9,309,190,27,282,8.1,7,2,3,29,22,5,3,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-23,16,15,10,183,202,14,169,8.7,7.8,15,5,43,26,9,4,3,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-24,19,16,11,262,215,20,242,7.3,7.9,8,5,51,31,10,5,5,1,0,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-25,28,19,12,208,227,26,182,13.5,8.6,4,6,54,36,11,7,4,2,0,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-26,41,22,15,216,218,35,181,19,10.4,9,7,58,41,14,8,5,2,0,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-27,32,25,17,241,222,27,214,13.3,11.4,9,7,65,47,16,10,6,3,2,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-28,65,32,21,319,248,59,260,20.4,12.9,11,8,73,53,15,11,6,4,1,0,NA,NA,NA,NA,NA,NA,0,NA
2020-03-29,105,44,29,450,268,100,350,23.3,15.1,8,9,77,60,18,13,8,5,2,1,NA,NA,NA,NA,NA,NA,0,NA
2020-03-30,80,53,35,284,283,62,222,28.2,17.9,19,10,91,67,19,15,11,6,3,1,NA,NA,NA,NA,NA,NA,0,NA
2020-03-31,73,61,40,440,308,71,369,16.6,19.2,11,10,94,73,21,16,13,8,2,1,NA,NA,NA,NA,NA,NA,0,NA
2020-04-01,100,71,47,797,392,99,698,12.5,19,18,12,105,80,29,19,15,9,1,2,NA,NA,NA,NA,NA,NA,0,NA
2020-04-02,62,74,49,529,437,52,477,11.7,18,22,14,119,89,35,22,21,11,4,2,NA,NA,NA,NA,NA,NA,0,NA
2020-04-03,99,83,55,882,529,108,774,11.2,17.7,23,16,135,99,42,26,25,14,3,2,NA,NA,NA,NA,NA,NA,0,NA
2020-04-04,138,94,62,803,598,143,660,17.2,17.2,22,18,148,110,40,29,29,17,9,3,NA,NA,NA,NA,NA,NA,0,NA
2020-04-05,181,105,69,1343,725,187,1156,13.5,15.8,20,19,158,121,43,33,35,21,2,3,NA,NA,NA,NA,NA,NA,0,NA
2020-04-06,206,123,81,1924,960,218,1706,10.7,13.3,26,20,177,134,47,37,39,25,7,4,NA,NA,NA,NA,NA,NA,0,NA
2020-04-07,260,149,99,1913,1170,284,1629,13.6,12.9,19,21,191,148,49,41,41,29,5,4,NA,NA,NA,NA,NA,NA,0,NA
2020-04-08,271,174,115,2010,1343,290,1720,13.5,13.1,18,21,196,161,49,44,37,32,10,6,NA,NA,NA,NA,NA,NA,0,NA
2020-04-09,277,205,135,1799,1525,283,1516,15.4,13.6,32,23,216,174,53,46,40,35,7,6,NA,NA,NA,NA,NA,NA,0,NA
2020-04-10,400,248,164,2994,1827,419,2575,13.4,13.9,29,24,223,187,59,49,41,37,11,7,NA,NA,NA,NA,NA,NA,0,NA
2020-04-11,280,268,177,2203,2027,298,1905,12.7,13.3,29,25,239,200,61,52,48,40,12,8,NA,NA,NA,NA,NA,NA,0,NA
2020-04-12,286,283,187,1985,2118,315,1670,14.4,13.4,35,27,257,214,59,54,49,42,9,9,NA,NA,NA,NA,NA,NA,0,NA
2020-04-13,187,280,185,1096,2000,161,935,17.1,14.3,35,28,276,228,64,56,54,44,9,9,NA,NA,NA,NA,NA,NA,0,NA
2020-04-14,261,280,185,2077,2023,290,1787,12.6,14.2,27,29,280,241,72,60,53,46,8,9,NA,NA,NA,NA,NA,NA,0,NA
2020-04-15,306,285,189,2149,2043,350,1799,14.2,14.3,30,31,288,254,72,63,54,48,17,10,NA,NA,NA,NA,NA,NA,0,NA
2020-04-16,384,301,199,2941,2206,447,2494,13.1,13.9,34,31,293,265,72,66,53,50,14,11,NA,NA,NA,NA,NA,NA,0,NA
2020-04-17,291,285,188,2126,2082,304,1822,13.7,14,31,32,297,276,66,67,45,51,21,13,NA,NA,NA,NA,NA,NA,0,NA
2020-04-18,285,286,189,2046,2060,321,1725,13.9,14.1,26,31,301,285,63,67,49,51,15,13,NA,NA,NA,NA,NA,NA,0,NA
2020-04-19,337,293,194,2427,2123,381,2046,13.9,14.1,23,29,297,290,65,68,55,52,11,14,NA,NA,NA,NA,NA,NA,0,NA
2020-04-20,375,320,211,2301,2295,394,1907,16.3,14,45,31,312,295,75,69,56,52,10,14,NA,NA,NA,NA,NA,NA,0,NA
2020-04-21,383,337,223,2554,2363,444,2110,15,14.3,44,33,320,301,72,69,56,53,18,15,NA,NA,NA,NA,NA,NA,0,NA
2020-04-22,380,348,230,2808,2458,418,2390,13.5,14.2,40,35,324,306,73,69,58,53,18,15,NA,NA,NA,NA,NA,NA,0,NA
2020-04-23,411,352,232,2948,2459,479,2469,13.9,14.3,31,34,323,311,76,70,62,54,15,15,NA,NA,NA,NA,NA,NA,0,NA
2020-04-24,405,368,243,3775,2694,491,3284,10.7,13.9,35,35,327,315,85,73,63,57,15,15,NA,NA,NA,NA,NA,NA,0,NA
2020-04-25,299,370,244,2599,2773,393,2206,11.5,13.5,34,36,339,320,85,76,62,59,14,14,NA,NA,NA,NA,NA,NA,0,NA
2020-04-26,274,361,239,2625,2801,316,2309,10.4,13,33,37,354,328,86,79,59,59,14,15,NA,NA,NA,NA,NA,NA,0,NA
2020-04-27,206,337,223,1869,2740,249,1620,11,12.3,28,35,358,335,86,80,61,60,10,15,NA,NA,NA,NA,NA,NA,0,NA
2020-04-28,330,329,218,2673,2757,410,2263,12.3,11.9,43,35,375,343,88,83,59,61,22,15,NA,NA,NA,NA,NA,NA,0,NA
2020-04-29,371,328,217,3819,2901,476,3343,9.7,11.4,35,34,361,348,78,83,53,60,18,15,NA,NA,NA,NA,NA,NA,0,NA
2020-04-30,350,319,211,3201,2937,432,2769,10.9,10.9,30,34,351,352,83,84,58,59,24,17,NA,NA,NA,NA,NA,NA,0,NA
2020-05-01,323,308,203,3540,2904,454,3086,9.1,10.7,49,36,362,357,84,84,59,59,14,17,NA,NA,NA,NA,NA,NA,0,NA
2020-05-02,193,292,193,2183,2844,257,1926,8.8,10.3,34,36,354,359,94,86,64,59,24,18,NA,NA,NA,NA,NA,NA,0,NA
2020-05-03,183,279,185,2443,2818,283,2160,7.5,9.9,30,36,351,359,91,86,62,59,21,19,NA,NA,NA,NA,NA,NA,0,NA
2020-05-04,290,291,193,2485,2906,387,2098,11.7,10,29,36,344,357,89,87,59,59,18,20,NA,NA,NA,NA,NA,NA,0,NA
2020-05-05,300,287,190,3306,2997,433,2873,9.1,9.5,24,33,335,351,83,86,56,59,16,19,NA,NA,NA,NA,NA,NA,0,NA
2020-05-06,339,283,187,3318,2925,488,2830,10.2,9.6,26,32,310,344,81,86,56,59,21,20,NA,NA,NA,NA,NA,NA,0,NA
2020-05-07,270,271,179,3394,2953,425,2969,8,9.2,32,32,297,336,73,85,54,59,21,19,NA,NA,NA,NA,NA,NA,0,NA
2020-05-08,229,258,170,2957,2869,359,2598,7.7,9,29,29,293,326,73,83,55,58,22,20,NA,NA,NA,NA,NA,NA,0,NA
2020-05-09,288,271,179,3813,3102,467,3346,7.6,8.8,19,27,290,317,71,80,53,56,15,19,NA,NA,NA,NA,NA,NA,0,NA
2020-05-10,190,272,180,2402,3096,285,2117,7.9,8.9,18,25,281,307,72,77,51,55,14,18,NA,NA,NA,NA,NA,NA,0,NA
2020-05-11,173,256,169,2114,3043,257,1857,8.2,8.4,30,25,290,299,73,75,51,54,15,18,NA,NA,NA,NA,NA,NA,0,NA
2020-05-12,225,245,162,2998,2999,387,2611,7.5,8.2,23,25,291,293,71,73,50,53,22,19,NA,NA,NA,NA,NA,NA,0,NA
2020-05-13,199,225,149,3983,3094,351,3632,5,7.4,23,25,288,290,71,72,51,52,13,17,NA,NA,NA,NA,NA,NA,0,NA
2020-05-14,233,220,145,3736,3143,329,3407,6.2,7.2,18,23,277,287,66,71,47,51,15,17,NA,NA,NA,NA,NA,NA,0,NA
2020-05-15,232,220,145,3838,3269,381,3457,6,6.9,24,22,256,282,63,70,47,50,14,15,NA,NA,NA,NA,NA,NA,0,NA
2020-05-16,247,214,142,4605,3382,449,4156,5.4,6.6,25,23,261,278,62,68,47,49,15,15,NA,NA,NA,NA,NA,NA,0,NA
2020-05-17,126,205,135,3008,3469,240,2768,4.2,6.1,17,23,264,275,60,67,46,48,10,15,NA,NA,NA,NA,NA,NA,0,NA
2020-05-18,134,199,132,2251,3488,250,2001,6,5.8,18,21,262,271,58,64,41,47,18,15,NA,NA,NA,NA,NA,NA,0,NA
2020-05-19,215,198,131,3583,3572,415,3168,6,5.5,23,21,247,265,57,62,39,45,11,14,NA,NA,NA,NA,NA,NA,0,NA
2020-05-20,183,196,129,3097,3445,326,2771,5.9,5.7,19,21,236,258,53,60,34,43,22,15,NA,NA,NA,NA,NA,NA,0,NA
2020-05-21,168,186,123,4131,3502,374,3757,4.1,5.4,25,22,243,253,54,58,30,41,20,16,NA,NA,NA,NA,NA,NA,0,NA
2020-05-22,206,183,121,3512,3455,351,3161,5.9,5.4,20,21,230,249,53,57,30,38,11,15,NA,NA,NA,NA,NA,NA,0,NA
2020-05-23,109,163,108,2995,3225,253,2742,3.6,5.1,19,20,235,245,53,55,33,36,13,15,NA,NA,NA,NA,NA,NA,0,NA
2020-05-24,84,157,104,1534,3015,164,1370,5.5,5.3,13,20,232,241,54,55,36,35,8,15,NA,NA,NA,NA,NA,NA,0,NA
2020-05-25,77,149,98,1532,2912,147,1385,5,5.1,14,19,232,236,54,54,34,34,10,14,NA,NA,NA,NA,NA,NA,0,NA
2020-05-26,158,141,93,2904,2815,284,2620,5.4,5.1,24,19,230,234,49,53,33,33,15,14,NA,NA,NA,NA,NA,NA,0,NA
2020-05-27,132,133,88,2334,2706,276,2058,5.7,5,20,19,229,233,51,53,33,33,10,12,NA,NA,NA,NA,NA,NA,0,NA
2020-05-28,130,128,85,3707,2645,348,3359,3.5,4.9,16,18,214,229,47,52,32,33,8,11,NA,NA,NA,NA,NA,NA,0,NA
2020-05-29,175,124,82,4325,2762,410,3915,4,4.7,19,18,200,225,43,50,31,33,12,11,NA,NA,NA,NA,NA,NA,0,NA
2020-05-30,109,124,82,4140,2925,225,3915,2.6,4.5,16,17,193,219,41,48,29,33,12,11,NA,NA,NA,NA,NA,NA,0,NA
2020-05-31,78,123,81,1845,2970,155,1690,4.2,4.3,11,17,191,213,44,47,26,31,3,10,NA,NA,NA,NA,NA,NA,0,NA
2020-06-01,93,125,83,3004,3180,212,2792,3.1,4.1,8,16,185,206,45,46,29,30,5,9,NA,NA,NA,NA,NA,NA,0,NA
2020-06-02,98,116,77,3294,3236,273,3021,3,3.7,8,14,181,199,38,44,25,29,10,9,NA,NA,NA,NA,NA,NA,0,NA
2020-06-03,99,112,74,3741,3437,254,3487,2.6,3.3,13,13,171,191,34,42,25,28,11,9,NA,NA,NA,NA,NA,NA,0,NA
2020-06-04,107,108,72,4746,3585,276,4470,2.3,3.1,7,12,148,181,31,39,24,27,12,9,NA,NA,NA,NA,NA,NA,0,NA
2020-06-05,99,98,64,3728,3500,215,3513,2.7,2.9,15,11,144,173,27,37,21,26,11,9,NA,NA,NA,NA,NA,NA,0,NA
2020-06-06,67,92,61,2817,3311,201,2616,2.4,2.9,9,10,145,166,29,35,19,24,6,8,NA,NA,NA,NA,NA,NA,0,NA
2020-06-07,50,88,58,1708,3291,83,1625,2.9,2.7,11,10,148,160,25,33,17,23,4,8,NA,NA,NA,NA,NA,NA,0,NA
2020-06-08,44,81,53,1968,3143,119,1849,2.2,2.6,15,11,148,155,27,30,18,21,4,8,NA,NA,NA,NA,NA,NA,0,NA
2020-06-09,64,76,50,2897,3086,223,2674,2.2,2.5,10,11,139,149,28,29,21,21,1,7,NA,NA,NA,NA,NA,NA,0,NA
2020-06-10,101,76,50,3196,3009,209,2987,3.2,2.6,13,11,138,144,24,27,17,20,4,6,NA,NA,NA,NA,NA,NA,0,NA
2020-06-11,88,73,48,3709,2860,195,3514,2.4,2.6,6,11,129,142,25,26,16,18,6,5,NA,NA,NA,NA,NA,NA,0,NA
2020-06-12,78,70,46,4810,3015,209,4601,1.6,2.4,9,10,121,138,24,26,16,18,2,4,NA,NA,NA,NA,NA,NA,0,NA
2020-06-13,49,68,45,3149,3062,113,3036,1.6,2.3,6,10,122,135,20,25,15,17,3,3,NA,NA,NA,NA,NA,NA,0,NA
2020-06-14,33,65,43,2127,3122,81,2046,1.6,2.1,7,9,120,131,20,24,14,17,3,3,NA,NA,NA,NA,NA,NA,0,NA
2020-06-15,75,70,46,3295,3312,188,3107,2.3,2.1,14,9,115,126,20,23,16,16,5,3,NA,NA,NA,NA,NA,NA,0,NA
2020-06-16,50,68,45,3127,3345,110,3017,1.6,2,11,9,116,123,22,22,16,16,8,4,NA,NA,NA,NA,NA,NA,0,NA
2020-06-17,51,61,40,2962,3311,127,2835,1.7,1.8,15,10,107,119,18,21,14,15,6,5,NA,NA,NA,NA,NA,NA,0,NA
2020-06-18,70,58,38,3198,3238,149,3049,2.2,1.8,9,10,100,114,19,20,16,15,7,5,NA,NA,NA,NA,NA,NA,0,NA
2020-06-19,59,55,37,3910,3110,141,3769,1.5,1.8,13,11,100,111,21,20,18,16,3,5,NA,NA,NA,NA,NA,NA,0,NA
2020-06-20,36,53,35,1975,2942,84,1891,1.8,1.8,8,11,97,108,21,20,19,16,4,5,NA,NA,NA,NA,NA,NA,0,NA
2020-06-21,30,53,35,1101,2795,37,1064,2.7,2,8,11,100,105,21,20,19,17,2,5,NA,NA,NA,NA,NA,NA,0,NA
2020-06-22,65,52,34,3868,2877,138,3730,1.7,1.9,11,11,95,102,20,20,19,17,2,5,NA,NA,NA,NA,NA,NA,0,NA
2020-06-23,81,56,37,3994,3001,163,3831,2,1.9,3,10,82,97,19,20,19,18,7,4,NA,NA,NA,NA,NA,NA,0,NA
2020-06-24,45,55,36,3622,3095,120,3502,1.2,1.9,9,9,80,93,19,20,19,18,5,4,NA,NA,NA,NA,NA,NA,0,NA
2020-06-25,51,52,35,2986,3065,103,2883,1.7,1.8,6,8,71,89,18,20,18,19,1,3,NA,NA,NA,NA,NA,NA,0,NA
2020-06-26,60,53,35,2582,2875,94,2488,2.3,1.9,2,7,63,84,19,20,19,19,1,3,NA,NA,NA,NA,NA,NA,0,NA
2020-06-27,37,53,35,3300,3065,84,3216,1.1,1.8,5,6,64,79,18,19,18,19,5,3,NA,NA,NA,NA,NA,NA,0,NA
2020-06-28,17,51,34,1508,3123,39,1469,1.1,1.6,4,6,60,74,16,18,15,18,6,4,NA,NA,NA,NA,NA,NA,0,NA
2020-06-29,40,47,31,3781,3110,85,3696,1.1,1.5,4,5,59,68,15,18,15,18,1,4,NA,NA,NA,NA,NA,NA,0,NA
2020-06-30,33,40,27,2016,2828,58,1958,1.6,1.4,1,4,54,64,13,17,12,17,5,3,NA,NA,NA,NA,NA,NA,0,NA
2020-07-01,79,45,30,4243,2917,144,4099,1.9,1.5,8,4,52,60,12,16,12,16,1,3,NA,NA,NA,NA,NA,NA,0,NA
2020-07-02,59,46,31,2906,2905,103,2803,2,1.6,5,4,51,58,11,15,11,15,3,3,NA,NA,NA,NA,NA,NA,0,NA
2020-07-03,24,41,27,2129,2840,50,2079,1.1,1.4,9,5,54,56,10,14,10,13,3,3,NA,NA,NA,NA,NA,NA,0,NA
2020-07-04,33,41,27,2402,2712,57,2345,1.4,1.5,2,5,51,54,11,13,10,12,2,3,NA,NA,NA,NA,NA,NA,0,NA
2020-07-05,26,42,28,2981,2923,49,2932,0.9,1.4,1,4,49,53,9,12,9,11,2,2,NA,NA,NA,NA,NA,NA,0,NA
2020-07-06,57,44,29,2915,2799,101,2814,2,1.6,5,4,49,51,10,11,10,11,4,3,NA,NA,NA,NA,NA,NA,0,NA
2020-07-07,47,46,31,3539,3016,81,3458,1.3,1.5,5,5,47,50,9,10,9,10,2,2,NA,NA,NA,NA,NA,NA,0,NA
2020-07-08,64,44,29,3514,2912,105,3409,1.8,1.5,4,4,49,50,10,10,9,10,0,2,NA,NA,NA,NA,NA,NA,0,NA
2020-07-09,50,43,28,3808,3041,94,3714,1.3,1.4,9,5,55,51,10,10,9,9,0,2,NA,NA,NA,NA,NA,NA,0,NA
2020-07-10,80,51,34,4569,3390,132,4437,1.8,1.5,6,5,56,51,8,10,7,9,3,2,NA,NA,NA,NA,NA,NA,0,NA
2020-07-11,36,51,34,3001,3475,63,2938,1.2,1.5,6,5,58,52,7,9,6,8,3,2,NA,NA,NA,NA,NA,NA,0,NA
