"date","firstDoses","secondDoses","partial","fully","totalPriorDay","cumulativeFirst","cumulativeSecond","firstOnly","cumulativeJohnson","johnsonLag"
2020-12-14,113,0,113,0,113,113,0,113,0,NA
2020-12-15,425,0,538,0,425,538,0,538,0,0
2020-12-16,418,0,956,0,418,956,0,956,0,0
2020-12-17,350,0,1306,0,350,1306,0,1306,0,0
2020-12-18,1671,0,2977,0,1671,2977,0,2977,0,0
2020-12-19,1177,0,4154,0,1177,4154,0,4154,0,0
2020-12-20,803,0,4957,0,803,4957,0,4957,0,0
2020-12-21,1763,0,6720,0,1763,6720,0,6720,0,0
2020-12-22,1525,0,8245,0,1525,8245,0,8245,0,0
2020-12-23,1581,0,9826,0,1581,9826,0,9826,0,0
2020-12-24,639,0,10465,0,639,10465,0,10465,0,0
2020-12-25,1,0,10466,0,1,10466,0,10466,0,0
2020-12-26,973,0,11439,0,973,11439,0,11439,0,0
2020-12-27,834,0,12273,0,834,12273,0,12273,0,0
2020-12-28,3559,0,15832,0,3559,15832,0,15832,0,0
2020-12-29,3074,0,18906,0,3074,18906,0,18906,0,0
2020-12-30,3194,0,22100,0,3194,22100,0,22100,0,0
2020-12-31,794,0,22894,0,794,22894,0,22894,0,0
2021-01-01,63,0,22957,0,63,22957,0,22957,0,0
2021-01-02,1746,20,24703,20,1766,24703,20,24683,0,0
2021-01-03,1723,102,26426,122,1825,26426,122,26304,0,0
2021-01-04,2335,282,28761,404,2617,28761,404,28357,0,0
2021-01-05,2513,239,31274,643,2752,31274,643,30631,0,0
2021-01-06,1633,469,32907,1112,2102,32907,1112,31795,0,0
2021-01-07,1746,705,34653,1817,2451,34653,1817,32836,0,0
2021-01-08,1788,1552,36441,3369,3340,36441,3369,33072,0,0
2021-01-09,1472,696,37913,4065,2168,37913,4065,33848,0,0
2021-01-10,338,760,38251,4825,1098,38251,4825,33426,0,0
2021-01-11,1311,1510,39562,6335,2821,39562,6335,33227,0,0
2021-01-12,1904,1289,41466,7624,3193,41466,7624,33842,0,0
2021-01-13,1303,1215,42769,8839,2518,42769,8839,33930,0,0
2021-01-14,2330,596,45099,9435,2926,45099,9435,35664,0,0
2021-01-15,1599,576,46698,10011,2175,46698,10011,36687,0,0
2021-01-16,2255,594,48953,10605,2849,48953,10605,38348,0,0
2021-01-17,335,208,49288,10813,543,49288,10813,38475,0,0
2021-01-18,1209,1063,50497,11876,2272,50497,11876,38621,0,0
2021-01-19,1484,722,51981,12598,2206,51981,12598,39383,0,0
2021-01-20,1956,795,53937,13393,2751,53937,13393,40544,0,0
2021-01-21,2378,345,56315,13738,2723,56315,13738,42577,0,0
2021-01-22,2488,310,58803,14048,2798,58803,14048,44755,0,0
2021-01-23,2496,599,61299,14647,3095,61299,14647,46652,0,0
2021-01-24,738,1050,62037,15697,1788,62037,15697,46340,0,0
2021-01-25,2018,2780,64055,18477,4798,64055,18477,45578,0,0
2021-01-26,1552,2616,65607,21093,4168,65607,21093,44514,0,0
2021-01-27,2250,2798,67857,23891,5048,67857,23891,43966,0,0
2021-01-28,2731,1095,70588,24986,3826,70588,24986,45602,0,0
2021-01-29,2279,1193,72867,26179,3472,72867,26179,46688,0,0
2021-01-30,3532,2107,76399,28286,5639,76399,28286,48113,0,0
2021-01-31,2321,390,78720,28676,2711,78720,28676,50044,0,0
2021-02-01,424,1033,79144,29709,1457,79144,29709,49435,0,0
2021-02-02,1716,1684,80860,31393,3400,80860,31393,49467,0,0
2021-02-03,3898,1958,84758,33351,5856,84758,33351,51407,0,0
2021-02-04,2910,2047,87668,35398,4957,87668,35398,52270,0,0
2021-02-05,2942,1547,90610,36945,4489,90610,36945,53665,0,0
2021-02-06,3234,1653,93844,38598,4887,93844,38598,55246,0,0
2021-02-07,410,444,94254,39042,854,94254,39042,55212,0,0
2021-02-08,1708,1381,95962,40423,3089,95962,40423,55539,0,0
2021-02-09,2702,1395,98664,41818,4097,98664,41818,56846,0,0
2021-02-10,2732,2243,101396,44061,4975,101396,44061,57335,0,0
2021-02-11,3025,1952,104421,46013,4977,104421,46013,58408,0,0
2021-02-12,3367,2389,107788,48402,5756,107788,48402,59386,0,0
2021-02-13,3316,2870,111104,51272,6186,111104,51272,59832,0,0
2021-02-14,1324,784,112428,52056,2108,112428,52056,60372,0,0
2021-02-15,3799,1066,116227,53122,4865,116227,53122,63105,0,0
2021-02-16,3629,1300,119856,54422,4929,119856,54422,65434,0,0
2021-02-17,5191,1921,125047,56343,7112,125047,56343,68704,0,0
2021-02-18,6022,2312,131069,58655,8334,131069,58655,72414,0,0
2021-02-19,5554,2237,136623,60892,7791,136623,60892,75731,0,0
2021-02-20,7897,2019,144520,62911,9916,144520,62911,81609,0,0
2021-02-21,1933,614,146453,63525,2547,146453,63525,82928,0,0
2021-02-22,5473,1387,151926,64912,6860,151926,64912,87014,0,0
2021-02-23,6118,1375,158044,66287,7493,158044,66287,91757,0,0
2021-02-24,6622,1813,164666,68100,8435,164666,68100,96566,0,0
2021-02-25,8690,2968,173356,71068,11658,173356,71068,102288,0,0
2021-02-26,8400,2625,181756,73693,11025,181756,73693,108063,0,0
2021-02-27,8498,3723,190254,77416,12221,190254,77416,112838,0,0
2021-02-28,2498,1338,192752,78754,3836,192752,78754,113998,0,0
2021-03-01,4787,1482,197539,80236,6269,197539,80236,117303,0,0
2021-03-02,6144,1269,203683,81505,7413,203683,81505,122178,0,0
2021-03-03,7544,3025,211227,84530,10569,211227,84530,126697,0,0
2021-03-04,6642,2732,217869,87262,9374,217869,87262,130607,0,0
2021-03-05,6250,2772,224119,90034,9022,224119,90034,134085,0,0
2021-03-06,7437,2336,231556,92757,9773,231556,92370,138799,387,387
2021-03-07,2642,368,234198,93503,3010,234198,92738,140695,765,378
2021-03-08,4260,1558,238458,95542,5818,238458,94296,142916,1246,481
2021-03-09,3337,1765,241795,97716,5102,241795,96061,144079,1655,409
